Column1,Column2
"In US , I heard that arrested people wo n't lose their jobs .","In the US , I heard that people arrested wo n't lose their jobs ."
The crime and their jobs are completely different .,The crime and their jobs are completely different .
"In China , I heard , the people who are arrested because of drags will be subject to capital punishment .","In China , I heard , people who are arrested because of drugs will be subject to capital punishment ."
"Same crime , different treatment .","Same crime , different treatment ."
How the weight of guilt is decided ?,How is the weight of guilt decided ?
Long time no see !,Long time no see !
"Today , Brisbane was too cold and windy .","Today , Brisbane was very cold and windy ."
It was first time .,It was the first time .
"When I was arrived in Brisbane , it was always sunny .","When I arrived in Brisbane , it was always sunny ."
I am missing warm weather .,I am missing warm weather .
"haha Anyway , nowadays I have started IELTS .","haha Anyway , nowadays I have started IELTS ."
IELTS is an exam for testing English .,IELTS is an exam for testing English .
Its too hard for me .,It 's too hard for me .
"Especailly , writting .","In particular , writing ."
"My goal is an overall 7.0 , but it may need to more than 1 year .","My goal is an overall 7.0 , but it may need more than 1 year ."
"English is the harder , the more difficult .","English is harder , the more difficult ."
I really hope that I speak English seems to native .,I really hope that I speak English as native .
"Also , I have another problem .","Also , I have another problem ."
"I always practice pronounce , but getting more difficult .","I always practise pronunciation , but it is getting more difficult ."
"I do nt know why I ca nt recognize "" ea "" "" i "" , such as , "" cheap as chips "" .","I do nt know why I ca nt recognize "" ea "" "" i "" , such as , "" cheap as chips "" ."
"If I said that sentence , people will be heard same pronounciation .","If I said that sentence , people would hear the same pronunciation ."
"2 months later , I am going to back to Korea .","2 months later , I am going to back to Korea ."
I want to enjoy in Brisbane .,I want to enjoy Brisbane .
"Go for it , everything :)","Go for it , everything :)"
Foreign languages,Foreign languages
Hello everybody !,Hello everybody !
Yesterday I started to learn Korean on the internet .,"Yesterday , I started to learn Korean on the internet ."
I just learnt alphabet .,I have just learnt the alphabet .
"It ’s said that because the Korean grammar is similar to the Japanese ’s , so that the Korean who study Japanese just have to take about 1year to speak Japanese fluently , while the other foreigners have to take 3,4 years or more than so .","It ’s said that because the Korean grammar is similar to the Japanese ’s , so that the Korean who study Japanese just have to take about 1 year to speak Japanese fluently , while the other foreigners have to take 3,4 years or more than that ."
I want to try to study both Korean and Japanese at a same time .,I want to try to study both Korean and Japanese at the same time .
Is it alright ?,Is that alright ?
I found that the Korean ’s alphabet is easier to write than the Japanese ’s .,I found that the Korean alphabet is easier to write than the Japanese one .
How about the way of spell ?,How about the way of spelling ?
I ’m always not patient enough to take a self - study for a long time .,I ’m never patient enough to take a self - study course for a long time .
coz ’ I ’m a lazy girl .,coz I ’m a lazy girl .
But I hope this time I ’ll study at least until I can write an entry introduce myself in Korean .,But I hope this time I ’ll study at least until I can write an entry introducing myself in Korean .
"I like to learn foreign languages , especially English .","I like to learn foreign languages , especially English ."
But my English is so poor even though I ’ve learnt it for ~10 years .,But my English is so poor even though I ’ve learnt it for ~10 years .
"And after I entered the Japanese department , I even ca n’t recall any English ’s grammars that I ’d learnt before .","And after I entered the Japanese department , I could n't even recall any English grammar that I ’d learnt before ."
I think English is most important .,I think English is very important .
"If I can speak both English and Japanese , I ’ll have more chances to have a good job in the future .","If I can speak both English and Japanese , I ’ll have more chances to have a good job in the future ."
But it ’s also said that it ’s very difficult to learn well both of them .,But it ’s also said that it ’s very difficult to learn both of them well .
"When I studied Japanese for a short time , I often confused English and Japanese .","When I studied Japanese for a short time , I often confused English and Japanese ."
"One time , I had an Japanese examination .","One time , I had a Japanese examination ."
"We had to test 4 skills : listening , speaking , writing , reading .","We had to test 4 skills : listening , speaking , writing , reading ."
"At the time of speaking ’s skill , a Japanese teacher asked me a question in Japanese .","At the time of speaking ’s skill , a Japanese teacher asked me a question in Japanese ."
The answer came to my mind in Vietnamese and then I nearly to spoke it out in English .,The answer came to my mind in Vietnamese and then I nearly spoke it out in English .
( the question was about my family .,( The question was about my family .
when I want to say “ There ’re 4 people in my family .,When I want to say “ There ’re 4 people in my family .
"They are : father , mother , sister and I.","They are : father , mother , sister and I."
I almost said that “ 。 。,I almost said that “ 。 。
But the way of speaking is different .,But the way of speaking is different .
"The Japanese who see a katakana word just spell it normally but we who had learnt English before when see a katakana word , we just try to think of an English word and then spell it .","The Japanese who see a katakana word just spell it normally , but we who have learnt English before , when we see a katakana word , we just try to think of an English word and then spell it ."
An essay which has too many katakana words always makes me bored .,An essay which has too many katakana words always makes me bored .
I like English very much but I chose the Japanese department for no reasons .,I like English very much but I chose the Japanese department for no reasons given .
"When I had to fill in the university entrance examination ’s admission form , I even did n’t know what I want to do in the future and who I want to be .","When I had to fill in the university entrance examination ’s admission form , I did n’t even know what I wanted to do in the future and who I wanted to be ."
"Then I asked my brother for an advice , he said that “ I like Japanese .",Then I asked my brother for some advice . He said that he liked Japanese .
You should choose Japanese department .,You should choose the Japanese department .
"If you can win a scholarship for a Japanese ’s university , I can ask you to buy me something in Japan . “ .","If you can win a scholarship to a Japanese university , I can ask you to buy me something in Japan . “ ."
I knew he was just joking but I chose it simply .,I knew he was just joking but I chose it simply .
He is n’t my own brother .,He is n’t my own brother .
I was acquainted with him in a Chinese ’s room chat when I was at 9th grade about 4 years ago .,"I was acquainted with him in a Chinese chat room when I was in 9th grade , about 4 years ago ."
"He is very special person , even though we ’ve met in real life yet .","He is a very special person , even though we have n't met in real life yet ."
He is 8 years older than me but he just likes a friend .,He is 8 years older than me but he just likes a friend .
He is very humorious and handsome > _ < .,He is very handsome and humorous > _ < .
He can always make me smile even when I ’m in bad mood .,He can always make me smile even when I ’m in a bad mood .
That is the reason why I did n’t choose English department despite I like it best .,That is the reason why I did n’t choose the English department despite the fact that I like it best .
"But in my university , at the second year of regular training , we can choose a second qualifications if we want and sure that we ’ll be able to study well both .","But at my university , in the second year of regular training , we can choose a second qualification if we want and I am sure that we ’ll be able to study both well ."
"My university has about 11 foreign language ’s departments and some other department where teach economics , travel bussiness , computer and so on … If we ’re learning a foreign language , we ’re advised to choose the economics or travel bussiness ’s department so that when we graduate we will have a best job .","My university has about 11 foreign language departments and some other departments where they teach economics , travel business , computers and so on ... If we ’re learning a foreign language , we ’re advised to choose the economics or travel business departments so that when we graduate we will have the best job ."
"But If we want to study another foreign language , it ’s ok .","But if we want to study another foreign language , it ’s OK ."
"So next year , I intend to choose English department for the second qualifications .","So next year , I intend to choose the English department for the second qualifications ."
"And when we ’re at the third year , we have a compulsory subject .","And when we ’re in the third year , we have a compulsory subject ."
This is called “ second foreign language ” .,This is called “ second foreign language ” .
It ’s differ from the second qualifications .,It ’s different from the second qualifications .
"Because the second qualifications   also has economics , travel bussiness , computer … training and it is n’t compulsory .","Because the second qualifications also have economics , travel business , computer training ... and it is n’t compulsory ."
The second foreign language is called compulsory subject but we can choose any foreign language to study .,The second foreign language is called a compulsory subject but we can choose any foreign language to study .
"For example , I ’m learning Japanese , I have to choose one in 10 other foreign languages remained .","For example , I ’m learning Japanese . I have to choose one of 10 other foreign languages remaining ."
"So , if next year I choose the English department , the year after I maybe choose Korean for second foreign language .","So , if next year I choose the English department , the year after I maybe choose Korean as my second foreign language ."
The compulsory   subject just has 300 sections .,The compulsory subject just has 300 sections .
It ’s too little to learn almost the language we choose .,It ’s too little to learn almost the language we choose .
"To learn almost Japanese , we have 4 years .","To learn almost Japanese , we have 4 years ."
"After that , it ’s not sure that we can be able to speak it fluently .","After that , it ’s not sure that we will be able to speak it fluently ."
So I want to try to study   Korean right now .,So I want to try to study Korean right now .
I also like French too .,I also like French too .
It sounds lovely .,It sounds lovely .
"It ’s called “ love ’s language ” , is n’t it ?","It ’s called “ love ’s language ” , is n’t it ?"
"If I have more spare time , I want to learn French .","If I have more spare time , I want to learn French ."
Do you know our Uncle Ho who was able to speak fluently more than 10 foreign languages ?,Do you know our Uncle Ho who was able to speak fluently more than 10 foreign languages ?
"I ca n’t do like that but I wish I could learn at least 4 : Japanese , English , Korean and French .","I ca n’t do like that but I wish I could learn at least 4 : Japanese , English , Korean and French ."
Do you think it is alright ?,Do you think it is alright ?
Do I have the ability to do ? ?,Do I have the ability to do that ?
No ones know but nothing is impossible .,No one knows but nothing is impossible
I ’m going to have an end - of - term examination this month .,I ’m going to have an end - of - term examination this month .
I ’m very worry about it .,I ’m very worried about it .
This time   we still have to test 4 Japanese ’s skill .,This time we still had to test 4 Japanese people 's skills .
I ’m very nervous of speaking and listening skill .,I ’m very nervous about my speaking and listening skills .
"The result of last term , both 3 skills ( listening , reading , writing ) , I got good marks ( 9,5/10 each skill ) , but I just took 7,5/10 the speaking skill in spite of my easy topic .","The result of last term , for both 3 skills ( listening , reading , writing ) , I got good marks ( 9,5/10 each skill ) , but I just took 7,5/10 for the speaking skill in spite of my easy topic ."
"And the middle - term examination , my listening skill ’s mark was 5,5/10 .","And in the middle - term examination , my listening skill ’s mark was 5,5/10 ."
"It was so bad , was n’t it?And the essay ’s topic this time will be random .","It was so bad , was n’t it ? And the essay ’s topic this time will be random ."
I ’ll have to write anything in Japanese as topic ’s request .,I ’ll have to write something in Japanese as per the topic ’s request .
It seems to be more difficult than last term examinations .,It seems to be more difficult than last term 's examinations .
"Time is so fast , is n’t it ?","Time is so fast , is n’t it ?"
> _ < Time waits for no one .,> _ < Time waits for no one .
And life is short .,And life is short .
We have no way except one way .,We have no way except one way .
This is try hard !,This is try hard !
"Anyway , next year is 2010 .","Anyway , next year is 2010 ."
It seems to be a big anniversary .,It seems to be a big anniversary .
It ’s counting down everyday ...,It ’s counting down every day ...
"I posted 3 pictures : my special - brother ’s , the countdown clock ’s and a picture I took with my close friend .","I posted 3 pictures : my special brother ’s , the countdown clock ’s and a picture I took with my close friend ."
It was edited so much by photoshop ( it looks beautiful but not real ^^ ) .,It was edited so much by photoshop ( it looks beautiful but not real ^^ ) .
The photo is taken 2 years ago .,The photo was taken 2 years ago .
We wore wedding dress despite the absence of our bridegrooms . > _ <,We wore wedding dress despite the absence of our bridegrooms . > _ <
"Next time , I ’ll try to translate this entry into Japanese .","Next time , I ’ll try to translate this entry into Japanese ."
I think it ’s difficult for me to do ...,I think it ’s difficult for me to do ...
"In this entry , the sentences I used are all simple sentences , it looks long ...","In this entry , the sentences I used are all simple sentences , it looks long ..."
But I think it has a lot of mistakes .,But I think it has a lot of mistakes .
Happy birthday to my Mom !,Happy birthday to my Mom !
Today is my mother ’s birthday !,Today is my mother ’s birthday !
Wish best wishes for her ..,Wish her best .
That is my mother ’s pictures which were taken when she was young .,These are my mother ’s pictures which were taken when she was young .
Is she beautiful ?,Is she beautiful ?
^_^ I want to say that I thank her so much .,^_^ I want to say that I thank her so much .
"“ Mom , I love you ” ..","“ Mom , I love you . ”"
( My computer ’s CD Room was broken so that I ca n’t install Japanese font .,( My computer ’s CD - ROM was broken so that I could n't install a Japanese font .
Thanks for all your comments .,Thanks for all your comments .
I ’ll try to continue this diary one near day .,I ’ll try to continue this diary one near day .
See you again ! ),See you again ! )
about my speech,About my speech
"yesterday i was told that i would be doing a presentation , luckily it was merely a speech to my class during english lesson , i ca nt think of anything to say to my peers , although i felt that we desperately need much more communication in order to   be conversant with everyone , i do nt find it strange here in singapore even if you stay with the same classmate for 3 years in the end , surprisingly i still have alot to learn about them , everyone in the class behave like as if   there is a wall separating each one of us , we were confined by our ambivalent and pompous heart .","yesterday i was told that i would be doing a presentation . Luckily , it was merely a speech to my class during English lesson . I could n't think of anything to say to my peers , although I felt that we desperately need much more communication in order to be conversant with everyone . I do nt find it strange here in Singapore . Even if you stay with the same classmate for 3 years , in the end , surprisingly , I still have a lot to learn about"
"i m unnerved and now feeling exhausted , what can i do to improve the "" cold "" and unfriendly atmosphere in my class ?","I 'm unnerved and now feeling exhausted . What can I do to improve the "" cold "" and unfriendly atmosphere in my class ?"
Treaty of Versailles did the big three achieve their aim ?,Treaty of Versailles : did the big three achieve their aim ?
"The treaty of Versailles was the outcome of paris peace conference , it decides Germany 's fate .","The treaty of Versailles was the outcome of the Paris peace conference , it decided Germany 's fate ."
"germany was taken by the "" big three "" of the time they are clemenceau , woodrow wilson and Lloyd George , the "" big three "" has their own aim throughout the conference so it ended up badly without anybody achieving it 's aim .","Germany was taken by the "" big three "" of the time . They were Clemenceau , Woodrow Wilson and Lloyd George . The "" big three "" had their own aims throughout the conference , so it ended badly without anybody achieving their aim ."
"Clemenceau aimed not only to seek revenge on Germany but also to weaken its power so that it could never rise up to attack France again , France also want Germany to pay for the damage it had on France during ww1,they want to reduce its army , industry and trade so that Germany could never recover to its former strength again , furthermore Clemenceau also face the intense pressure from its people to demand a compensation for the suffering during ww1,if Germany is greatly crippled , it could never be a potential threat to France again , however Britain and US used their influence to modify the demands from French they stating that it is too harsh for Germany .","Clemenceau aimed not only to seek revenge on Germany but also to weaken its power so that it could never rise up to attack France again . France also wanted Germany to pay for the damage it did to France during ww 1 , they wanted to reduce its army , industry and trade so that Germany could never recover to its former strength again . Furthermore , Clemenceau also faced intense pressure from its people to demand compensation for the suffering during ww 1 . If Germany was greatly crippled , it could never be"
therefore   France did not achieve its aim during the conference .,"Therefore , France did not achieve its aim during the conference ."
"lylod george was in the range between US and france , he germany to be punished but not too harsh , or else she will seek revenge in future , infact UK wanted to trade with germany again , lylod george especially want germany to loose its navy and colonies because they are a great threat to british empire , therefore was rather unhappy when they allow germany to retain its navy and colonies , lloyd george also clashed with wilson over his point on allowing all nations to access to seas , hence britain 's lloyd george did not achieve its aim","lylod george was in the range between US and france . he wanted germany to be punished but not too harshly , or else she would seek revenge in future . In fact , the UK wanted to trade with Germany again . lylod george especially wanted germany to lose its navy and colonies because they are a great threat to the British empire . Therefore , he was rather unhappy when they allowed Germany to retain its navy and colonies . l"
"none of the nation achieve their aim fully , french and britain had to face their pressure on a harsh treaty with germany but they also had to compromise with usa on some of their aim therefore none of them achieve their aim fully .","None of the nations achieved their aim fully . The French and Britain had to face their pressure on a harsh treaty with Germany , but they also had to compromise with the USA on some of their aims . Therefore none of them achieved their aim fully ."
"There is a big difference between the east and the west , when comes to education , i always admired how the westerner educate their posterity , their method is so gentle and kind , full of love and meaning , whereas the asian method is rather more of violence , for example the chinese people believe that a child should be educated with rods !","There is a big difference between the east and the west when it comes to education . I have always admired how the westerners educate their posterity . Their method is so gentle and kind , full of love and meaning , whereas the Asian method is rather more of a violence , for example , the Chinese people believe that a child should be educated with rods !"
"countless beating from their parent is believe to be capable of forging a successful child!thats how i was brought up at least , my parent always tell me how much they love me although they served me with rod every time i commit a wrongdoing , however when comes to the western way of parenting , it sounds like a fairy tale to me , for example the western parent always said this to their child if they happened to be repudiate , the parent will say this "" go to your room ! "" this is something that will never happen in an asian family .","Countless beatings from their parents is believed to be capable of forging a successful child . That 's how I was brought up at least . My parents always tell me how much they love me although they served me with a rod every time I committed a wrongdoing . However , when it comes to the western way of parenting , it sounds like a fairy tale to me . For example , the western parent always said this to their child if they"
May be our parent would never realize the trauma they had inflicted on us !,Maybe our parents would never realize the trauma they had inflicted on us !
how successful was the league of nations in establishing peace during the 1920s ?,How successful was the League of Nations in establishing peace during the 1920s ?
"The league of nations is an organization form to improve lives and jobs of the people around the world , settle peace by disarmament , and to uphold and enforce the treaty of Versailles .","The League of Nations is an organization formed to improve the lives and jobs of the people around the world , settle peace by disarmament , and to uphold and enforce the Treaty of Versailles ."
"The league was successful in establishing peace during 1920s through discouraging aggression to other countries by negotiation , the Lon also plan to provide collective security by a community of power , example silesia , where the league settle a dispute between germany and poland through plebiscite , another example is the aaland where under lon 's investigation settle a dispute between sweden and finland , the league is also successful in improving the life of people , for example they provide direct aid and welfare to the people in need around the world , one of the famous act is the repatriation of 400000 ww1 prisoners and employ them to kill mosquitos to prevent malaria and also prevent leprosy , they also provide economic experts to help Austria and Hungary as well as establishing the international labour organization .","The league was successful in establishing peace during the 1920s through discouraging aggression to other countries by negotiation . The Lon also planned to provide collective security through a community of power , for example , Silesia , where the league settled a dispute between Germany and Poland through a plebiscite . Another example is the Aaland Archipelago , where under the Lon 's investigation a dispute between Sweden and Finland was settled . The league is also successful in improv"
As three of the most powerful nations in the world do not participate in the lon they are germany .,As three of the most powerful nations in the world do not participate in the lon they are germany .
however they are unsuccessful because most of their disarmament   were not achieve .,"However , they were unsuccessful because most of their disarmament goals were not achieved ."
"the greatest achievement of the league is the social issue no organization had ever do it before , until now their war has been taken over by the U.","The greatest achievement of the league is the social issue . No organization had ever done it before , until now . Their war has been taken over by the U."
"N so it is a great success , however it fail to stop powerful countries starting a war , fail to establish disarmament , also fail to defend the treaty of Versailles , these give rise to aggression by axis power .","Now so it is a great success . However , it fails to stop powerful countries starting a war , fails to establish disarmament , and also fails to defend the treaty of Versailles . These give rise to aggression by axis powers ."
Why war broke out in Europe in 1939 ?,Why did war break out in Europe in 1939 ?
There are several reasons why war broke out in Europe in 1939 .,There are several reasons why war broke out in Europe in 1939 .
"Here are the three reasons , Hitler 's aggressive foreign policy , the failure of the league of nations and the nazi soviet pact .","Here are the three reasons : Hitler 's aggressive foreign policy , the failure of the League of Nations and the Nazi - Soviet pact ."
"Hitler 's aggressive   foreign policy is the reason to the broke out of war in Europe , Hitler 's aim of taking away the land that belonged to other countries make the break out of war more likely , for example he sent his troops into Czechoslovakia in 1939,this act of military aggression has lead to many unhappiness among the people in eastern Europe , people lose their sovereignty over their own country , hence this lead to the broke out of war in Europe .","Hitler 's aggressive foreign policy is the reason for the break out of war in Europe . Hitler 's aim of taking away the land that belonged to other countries made the break out of war more likely . For example , he sent his troops into Czechoslovakia in 1939 . This act of military aggression has led to a lot of unhappiness among the people in eastern Europe . People lost their sovereignty over their own country . Hence , this led to the break out of war in Europe"
"The nazi soviet pact is one of the important reason lead to the broke out of war in Europe , hitler always worried that he would have to fight on two front when taking over Poland , he do not want to fight with Russia and the british , so by   signing agreement with Russia will give Germany a greater possibility to take over Poland , because Russia promised to stay neutral , this will lead to the war in Europe because this actually embolden Hitler 's aggression , thus making the war in Europe possible .","The nazi soviet pact is one of the important reasons that led to the break out of war in Europe . Hitler always worried that he would have to fight on two fronts when taking over Poland . He did not want to fight with Russia and the British , so by signing an agreement with Russia , he would give Germany a greater possibility to take over Poland , because Russia promised to stay neutral . This would lead to the war in Europe because it actually emboldened Hitler 's aggression"
"Hitler 's aggressive foreign policy is the root of the war in Europe , if hitler is n't aggressive he did not need to take over lands of other country and also will not sign the nazi - soviet pact to prevent the war with Russia , hence the war in Europe is not likely to broke out .","Hitler 's aggressive foreign policy is the root of the war in Europe . If Hitler had n't been aggressive he would not have needed to take over lands of other countries and also would not have signed the nazi - soviet pact to prevent the war with Russia , hence the war in Europe would not have broken out ."
Yesterday I went to KARAOKE with my friends .,Yesterday I went to KARAOKE with my friends .
"I sang almost Japanese pops , but I also tried to sing ABBA !","I sang mostly Japanese pop , but I also tried to sing ABBA !"
"Their songs made me feel exciting , so I love them .","Their songs made me feel excited , so I love them ."
Next time I 'd like to challenge Black eyed peas ' songs .,Next time I 'd like to challenge Black Eyed Peas ' songs .
It 's snowing in Tokyo !,It 's snowing in Tokyo !
Now It 's snowing in Tokyo !,Now It 's snowing in Tokyo !
It 's really cold .,It 's really cold .
"When I was a child , I liked snowing .","When I was a child , I liked snowing ."
But now ...,But now ...
And it was around 20 degrees last   week ...,And it was around 20 degrees last week ...
It is easy to catch a cold because of the change,It is easy to catch a cold because of the change
in such a temperature .,in such a temperature .
"Anyway , I hope that it wo n't be covered with snow on the ground","Anyway , I hope that it wo n't be covered with snow on the ground"
"China held a clear , persistent and firm position over the Tibetissue , which was related to China 's core interests and major political concern , he said .","China held a clear , persistent and firm position on the Tibet issue , which was related to China 's core interests and major political concerns , he said ."
"This issue was also linked with China 's sovereignty , and influenced national emotion .","This issue was also linked with China 's sovereignty , and influenced national emotion ."
A poll on the website of the Global Times found more than 87 percent of voters firmly opposed the Paris move .,A poll on the website of the Global Times found more than 87 percent of voters firmly opposed the Paris move .
Perhaps my Chinese translation is not perfect .,Perhaps my Chinese translation is not perfect .
Please correct my translation .,Please correct my translation .
The second China - Japan high - level economic dialogue has opened in Tokyo .,The second China - Japan high - level economic dialogue has opened in Tokyo .
"The agenda for the dialogue includes topics ranging from energy conservation and environmental protection , to finance and agriculture .","The agenda for the dialogue includes topics ranging from energy conservation and environmental protection , to finance and agriculture ."
"Among the other issues to be discussed are trade and investment , information and communications ...","Among the other issues to be discussed are trade and investment , information and communications ..."
and disaster prevention and relief .,and disaster prevention and relief .
The dialogue mechanism was first held in Beijing in 2007 .,The dialogue mechanism was first held in Beijing in 2007 .
"Perhaps my translation is not perfect , please correct my entry .","Perhaps my translation is not perfect , please correct my entry ."
"Since it first convened in 2007 , the China - Japan high level economic dialogue has proven to be their most important mechanism for discussions on major economic concerns , and important regional and global economic issues .","Since it first convened in 2007 , the China - Japan high level economic dialogue has proven to be their most important mechanism for discussions on major economic concerns , and important regional and global economic issues ."
It aims to forge long - term reciprocal cooperation between the two strongest Asian economic powers .,It aims to forge long - term reciprocal cooperation between the two strongest Asian economic powers .
The first dialogue was held on December the 1st 2007 in Beijing .,The first dialogue was held on December the 1st 2007 in Beijing .
"The two countries reached consensus on issues including macro - economic policies , trade and investment , climate change , environmental protection , and multilateral and regional economic cooperation .","The two countries reached consensus on issues including macro - economic policies , trade and investment , climate change , environmental protection , and multilateral and regional economic cooperation ."
The global economic downturn has posed severe challenges to their economic exchange .,The global economic downturn has posed severe challenges to their economic exchange .
The two countries hope the 2nd economic dialogue will prove effective for finding solutions .,The two countries hope the 2 nd economic dialogue will prove effective for finding solutions .
"Chinese Commerce Minister Chen Deming said , "" I think we two sides can make joint efforts in following 5 aspects .","Chinese Commerce Minister Chen Deming said , "" I think we two sides can make joint efforts in the following 5 aspects ."
"The first is to coordinate our economic policies ; the second is to take action to restore confidence in businesses and markets ; we also need to oppose trade protectionism together and promote bilateral cooperation in areas like technology trade , energy saving and environmental protection .","The first is to coordinate our economic policies ; the second is to take action to restore confidence in businesses and markets ; we also need to oppose trade protectionism together and promote bilateral cooperation in areas like technology trade , energy saving and environmental protection ."
"Finally , we need to enhance regional and multi - lateral cooperation in Asia . ""","Finally , we need to enhance regional and multi - lateral cooperation in Asia . """
"In the first four months of this year , Sino - Japanese trade dropped by almost a quarter year - on - year .","In the first four months of this year , Sino - Japanese trade dropped by almost a quarter year - on - year ."
Japan 's direct investment to China decreased by 15 percent .,Japan 's direct investment in China decreased by 15 percent .
China is now Japan 's largest trade partner .,China is now Japan 's largest trade partner .
But it disagrees with some of Japan 's trade policies and hopes the gap can be bridged through talks .,But it disagrees with some of Japan 's trade policies and hopes the gap can be bridged through talks .
"Chen said , "" China 's trade deficit to Japan was 34 and a half billion US dollars .","Chen said , "" China 's trade deficit with Japan was 34 and a half billion US dollars ."
"We are not intentionally seeking a trade balance , but we really hope Japan can continue to make progress in opening - up exports of advanced technology and high - tech products to China . ""","We are not intentionally seeking a trade balance , but we really hope Japan can continue to make progress in opening up exports of advanced technology and high - tech products to China . """
"Bilateral trade between the two countries grew 13 percent , to 266.8 billion US dollars in 2008 .","Bilateral trade between the two countries grew 13 percent , to 266.8 billion US dollars in 2008 ."
"Japan 's accumulative direct investment in China totaled 66.7 billion US dollars as of end of this April , making Japan the second largest source of FDI in China .","Japan 's accumulative direct investment in China totaled 66.7 billion US dollars as of the end of this April , making Japan the second largest source of FDI in China ."
Life is like summer flower,Life is like summer flower
"In that morning , you came","On that morning , you came"
With dewdrop 's aroma,With dewdrop 's aroma
Diffused youth style,Diffused youth style
You told me who 's gazing you one phrase : Life is like summer flower,You told me who 's gazing you one phrase : Life is like summer flower
Then you turned to go away,Then you turned to go away .
Just like you came on that day,Just like you came on that day
Outside sky does diffuse the wind and cream of years,"Outside , the sky does diffuse the wind and cream of years ."
My waiting is hovering around the end of the world,My waiting is hovering around the end of the world
Your smile is blooming softly in the wind,Your smile is blooming softly in the wind
Who once said such a phrase,Who once said such a phrase ?
The flower that is blooming in summer,The flower that blooms in summer
It will be brilliant for ever,It will be brilliant for ever
Whose mood is tavelling,Whose mood is travelling
Whose story is straying,Whose story is straying
You say you want to start a new life,You say you want to start a new life .
New life is a wonderful fairy tale,New life is a wonderful fairy tale
my fellow people and i,My fellow people and I
my fellow people an i,My fellow people and I
"Recently , I 'm immerced in running for my weight control .","Recently , I 've been immersed in running for my weight control ."
I run twice a day in the morning and evening .,"I run twice a day , in the morning and evening ."
"But , my weight is more bigger than two week ago .","But , my weight is more than two weeks ago ."
